name,essround,edition,proddate,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,donprty,badge,sgnptit,pbldmna,bctprd,pstplonl,volunfp,clsprty,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,lrnobed,loylead,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,gndr
ESS11e01,11,1,2024-06-20,50358,AT,60,5,150,4,6,4,1,2,4,3,4,3,2,2,2,2,0,1,2,1,1,1,1,2,1,1,2,1,1,9,9,2,0,1,2,3,2,4,3,4,1,3,5,3,4,4,1,1,1,8,1
ESS11e01,11,1,2024-06-20,50363,AT,30,5,180,7,7,7,2,3,8,3,3,5,5,8,4,4,5,7,1,1,2,2,1,2,2,2,1,2,6,5,8,6,5,6,6,6,2,2,5,8,6,3,3,2,2,2,6,6,5,8,2
ESS11e01,11,1,2024-06-20,50367,AT,240,5,330,10,9,7,1,2,1,1,1,0,5,7,0,0,0,4,1,2,2,2,1,2,2,2,2,2,6,5,8,2,0,3,7,9,1,1,5,1,10,1,3,1,3,3,5,7,4,8,2
ESS11e01,11,1,2024-06-20,50375,AT,30,5,210,8,7,7,3,2,2,3,2,5,7,8,4,2,5,6,1,2,2,2,2,2,2,2,2,2,6,5,8,6,5,8,8,9,2,2,5,3,1,2,2,2,3,4,6,5,5,8,2
ESS11e01,11,1,2024-06-20,50380,AT,30,5,90,5,3,6,2,3,3,3,4,2,6,8,0,2,4,5,1,2,2,2,2,2,2,2,2,2,6,6,8,6,0,2,9,8,1,2,4,3,5,2,4,2,2,3,5,0,0,8,2
ESS11e01,11,1,2024-06-20,50412,AT,3,5,150,7,9,7,4,2,1,1,1,5,8,7,3,2,3,5,2,2,2,2,2,2,2,2,2,2,6,88,7,7,6,7,7,7,1,1,5,2,4,3,4,2,3,3,5,4,4,7,2
ESS11e01,11,1,2024-06-20,50423,AT,30,5,180,4,4,4,3,2,2,2,2,2,4,3,1,2,1,0,1,1,2,2,1,2,2,1,2,2,6,5,7,6,2,3,6,7,1,2,5,2,0,2,4,2,2,2,5,5,7,8,2
ESS11e01,11,1,2024-06-20,50427,AT,20,5,180,5,7,6,3,2,2,2,1,0,6,6,0,0,6,6,2,2,2,2,2,2,2,2,2,2,6,88,8,7,0,0,8,8,1,1,4,1,0,3,4,1,3,4,7,2,4,8,2
ESS11e01,11,1,2024-06-20,50433,AT,60,5,60,8,10,8,2,2,4,2,5,5,9,9,3,3,4,5,1,2,2,2,2,2,2,2,2,2,6,4,8,5,6,5,4,7,1,5,5,2,7,2,3,2,3,2,8,8,7,7,1
ESS11e01,11,1,2024-06-20,50441,AT,10,1,6666,6,6,6,2,3,3,3,3,8,7,7,8,7,3,3,1,2,2,2,2,2,2,2,2,2,6,7,8,8,8,9,8,9,1,3,3,3,4,1,4,2,3,4,5,4,5,9,2
ESS11e01,11,1,2024-06-20,50446,AT,30,5,20,8,9,7,3,3,2,3,2,5,6,7,4,4,5,6,1,2,2,2,2,2,2,2,2,2,6,5,7,5,4,4,5,7,2,2,4,2,1,2,4,2,3,3,5,5,4,7,2
ESS11e01,11,1,2024-06-20,50465,AT,90,5,120,10,9,9,1,1,2,1,3,4,8,8,5,5,5,5,1,1,1,2,1,2,1,1,2,1,2,5,8,5,0,4,6,5,1,1,5,2,8,4,3,1,2,2,8,8,8,9,2
ESS11e01,11,1,2024-06-20,50468,AT,0,5,120,10,10,10,4,4,2,4,2,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2,6,88,10,9,88,9,10,10,2,2,4,2,10,4,4,1,1,2,9,9,9,10,2
